1;H;13.5984;;
2;He;24.5874;54.416;
3;Li;5.3917;76.638;122.451
4;Be;9.3226;18.211;153.893
5;B;8.2980;25.154;37.93
6;C;11.2603;24.383;47.887
7;N;14.5341;29.601;47.448
8;O;13.6181;35.117;54.934
9;F;17.4228;34.97;62.707
10;Ne;21.5645;40.962;63.45
11;Na;5.1391;47.286;71.641
12;Mg;7.6462;15.035;80.143
13;Al;5.9858;18.828;28.447
14;Si;8.1517;16.345;33.492
15;P;10.4867;19.725;30.18
16;S;10.3600;23.33;34.83
17;Cl;12.9676;23.81;39.611
18;Ar;15.7596;27.629;40.74
19;K;4.3407;31.625;45.72
20;Ca;6.1132;11.871;50.908
21;Sc;6.5614;12.80;24.76
22;Ti;6.8282;13.58;27.491
23;V;6.7463;14.65;29.31
24;Cr;6.7666;16.50;30.96
25;Mn;7.4340;15.64;33.667
26;Fe;7.9024;16.18;30.651
27;Co;7.8810;17.06;33.50
28;Ni;7.6398;18.168;35.17
29;Cu;7.7264;20.292;36.83
30;Zn;9.3941;17.964;39.722
31;Ga;5.9993;20.51;30.71
32;Ge;7.900;15.934;34.22
33;As;9.8152;18.633;28.351
34;Se;9.7524;21.19;30.82
35;Br;11.8138;21.8;36.0
36;Kr;13.9996;24.359;36.95
37;Rb;4.1771;27.28;40.0
38;Sr;5.6948;11.03;43.60
39;Y;6.217;12.24;20.52
40;Zr;6.6339;13.13;22.99
41;Nb;6.7589;14.32;25.04
42;Mo;7.0924;16.461;27.16
43;Tc;7.28;15.26;29.54
44;Ru;7.3605;16.76;28.47
45;Rh;7.4589;18.08;31.06
46;Pd;8.3369;19.63;32.93
47;Ag;7.5762;21.49;34.83
48;Cd;8.9937;16.908;37.48
49;In;5.7864;18.869;28.03
50;Sn;7.3438;14.632;30.502
51;Sb;8.64;16.53;25.30
52;Te;9.0096;18.60;27.96
53;I;10.4513;19.131;33.0
54;Xe;12.1299;21.21;32.10
55;Cs;3.8939;25.10;
56;Ba;5.2117;10.004;
57;La;5.5770;11.059;19.174
58;Ce;5.5387;10.851;20.20
59;Pr;5.464;10.551;21.62
60;Nd;5.5250;10.727;22.076
61;Pm;5.55;10.903;22.283
62;Sm;5.6437;11.069;23.423
63;Eu;5.6704;11.245;24.926
64;Gd;6.1500;12.095;20.635
65;Tb;5.8639;11.525;21.91
66;Dy;5.9389;11.67;22.802
67;Ho;6.0216;11.805;22.843
68;Er;6.1078;11.929;22.739
69;Tm;6.1843;12.054;26.367
70;Yb;6.2542;12.188;25.03
71;Lu;5.4259;13.888;20.957
72;Hf;6.8251;14.925;23.32
73;Ta;7.89;;
74;W;7.98;;
75;Re;7.88;;
76;Os;8.7;;
77;Ir;9.1;;
78;Pt;9.0;18.563;
79;Au;9.2257;20.521;
80;Hg;10.4375;18.759;34.202
81;Tl;6.1083;20.428;29.829
82;Pb;7.4167;15.028;31.943
83;Bi;7.289;16.687;25.559
84;Po;8.4167;;
85;At;9.5;;
86;Rn;10.7485;;
87;Fr;;;
88;Ra;5.2789;10.148;
89;Ac;5.17;12.126;
90;Th;6.08;11.504;20.003
91;Pa;5.89;;
92;U;6.1941;;
93;Np;6.2657;;
94;Pu;6.06;;
95;Am;5.993;;
96;Cm;6.02;;
97;Bk;6.23;;
98;Cf;6.30;;
99;Es;6.42;;
100;Fm;6.50;;
101;Md;6.58;;
102;No;6.65;;
103;Lr;;;
104;Rf;;;
105;Db;;;
106;Sg;;;
107;Bh;;;
108;Hs;;;
109;Mt;;;
110;Ds;;;
111;Rg;;;
112;Cn;;;
113;Uut;;;
114;Fl;;;
115;Uup;;;
116;Lv;;;
117;Uus;;;
118;Uuo;;;
